,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10685,1990,Megaville,American,"['New', ' Tea', ' Personal', ' Poke', ' Raw', ' Day', ' Store']",[],"['New', ' Tea', ' Personal', ' Poke', ' Raw', ' Day', ' Store']",,,,
10686,1990,Memphis Belle,American,"['American', ' Tea', ' Thai', ' Bar', ' bar', ' German', ' Pub', ' Day']",[],"['American', ' Tea', ' Thai', ' Bar', ' bar', ' German', ' Pub', ' Day']",,,,
10687,1990,Men at Work,American,"['Pizza', ' Street', ' Local', ' Delivery', ' Day']",[],"['Pizza', ' Street', ' Local', ' Delivery', ' Day']",,,,
10688,1990,Men Don't Leave,American,"['Food', ' Tea', ' Local', ' Music', ' Room', ' Raw', ' Day', ' Store']",[],"['Food', ' Tea', ' Local', ' Music', ' Room', ' Raw', ' Day', ' Store']",,,,
10689,1990,Men of Respect,American,"['Tea', ' Family']",[],"['Tea', ' Family']",,,,
10690,1990,Meridian: Kiss of the Beast,American,"['Tea', ' Local', ' Dinner', ' Room', ' Olive', ' Family']",[],"['Tea', ' Local', ' Dinner', ' Room', ' Olive', ' Family']",,,,
10691,1990,Mermaids,American,"['New', ' Wine', ' Tea', ' Small', ' Local', ' Greek', ' Dinner', ' Day', ' Special', ' Pita', ' Family']",[],"['New', ' Wine', ' Tea', ' Small', ' Local', ' Greek', ' Dinner', ' Day', ' Special', ' Pita', ' Family']",,,,
10692,1990,Metropolitan,American,"['New', ' International', ' Small', ' Latin', ' Social', ' Family']",['romantic'],"['New', ' International', ' Small', ' Latin', ' Social', ' Family', ' romantic']","['Comedy', 'Drama', 'Romance']",7.5,"['apartment', 'dancing', 'debutante', 'new york', 'upper class']",
10693,1990,Miami Blues,American,"['New', ' Tea', ' Grocery', ' Hotel', ' Blues', ' Dinner', ' Day', ' Store']",['romantic'],"['New', ' Tea', ' Grocery', ' Hotel', ' Blues', ' Dinner', ' Day', ' Store', ' romantic']",,,,
10694,1990,Miller's Crossing,American,"['Tea', ' Italian', ' Irish', ' Day']",[],"['Tea', ' Italian', ' Irish', ' Day']",,,,
10695,1990,Misery,American,"['Soup', ' New', ' Comfort', ' Local', ' Dinner', ' Room', ' Day', ' Restaurant', ' Champagne']",[],"['Soup', ' New', ' Comfort', ' Local', ' Dinner', ' Room', ' Day', ' Restaurant', ' Champagne']",,,,
10696,1990,Mo' Better Blues,American,"['Wings', ' New', ' Tea', ' French', ' Delivery', ' Jazz', ' Blues', ' Style', ' Day', ' Adult', ' Special', ' Pita', ' Family']",[],"['Wings', ' New', ' Tea', ' French', ' Delivery', ' Jazz', ' Blues', ' Style', ' Day', ' Adult', ' Special', ' Pita', ' Family']","['Drama', 'Music', 'Romance']",6.5,"['comeback', 'friend', 'jazz', 'stage', 'trumpet']",
10697,1990,Mob Story,American,"['New', ' Small']",[],"['New', ' Small']",,,,
10698,1990,A Mom for Christmas,American,"['New', ' Fusion', ' Room', ' Day', ' Christmas', ' Holiday', ' Store', ' Special', ' Family']",[],"['New', ' Fusion', ' Room', ' Day', ' Christmas', ' Holiday', ' Store', ' Special', ' Family']",,,,
10699,1990,Moon 44,American,"['New', ' Pan']",[],"['New', ' Pan']",,,,
10700,1990,Mother Goose Rock 'n' Rhyme,American,['Family'],[],['Family'],,,,
